CS VIDEO TITLE, URL, CATEGORIES, PEOPLE/CONNECTIONS, META, DESC
Preacher Shock, https://www.youtube.com/watch?v=MTfpAasGKqU,#comedy #storytelling #ASL #Sorenson, @cassiesimmons, free youtube, Description1
The Wolf Who Cried Sheep, https://www.youtube.com/watch?v=7Y44OUbwthQ,#storytelling #ASL #Sorenson, @benbahan, free youtube, Description2
Chuck Baird Tribute, https://www.youtube.com/watch?v=FBIY4dNpedY,#storytelling #ASL #Sorenson,@colinalco @chuckbaird,free youtube,Description3
The Deaf Tree, https://www.youtube.com/watch?v=L-3GxazfIw8, #storytelling #ASL #Sorenson #deafculture #tradition ,,free youtube,Description "4"
The Deaf King Kong, https://www.youtube.com/watch?v=iaJHetU9K0c, #storytelling #ASL #Sorenson #deafculture  ,,free youtube, Description 5
The Hitchhiker, https://www.youtube.com/watch?v=XzcSPreybD4, #storytelling #ASL #Sorenson #deafculture  ,,free youtube, Description 6
The Coal Miner, https://www.youtube.com/watch?v=CbSuUoFa8FY, #storytelling #ASL #Sorenson #deafculture  ,, free youtube , Description 7
Sign Play, https://www.youtube.com/watch?v=B9dFL6V9OwA,#Deafjokes  #storytelling #ASL #Sorenson #deafculture  ,,free     youtube, Description 8
The Hotel, https://www.youtube.com/watch?v=twLoBpgesDI,#Deafjokes  #storytelling #ASL #Sorenson #deafculture  ,,free youtube, Description 9
Jabberwocky, https://www.youtube.com/watch?v=AWfDFtyIBjU, #storytelling #ASL #Sorenson #deafculture  #Deaftradition #Jabberwocky, @ericmalzkuhn, free youtube, Description 10
